-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.116,  0.313
-183.797, 80.186, 0.219,  0.346
-183.792, 80.173, 0.383,  0.379
-183.785, 80.156, 0.534,  0.412
-183.775, 80.135, 0.613,  0.445
-183.763, 80.113, 0.708,  0.478
-183.746, 80.088, 0.773,  0.511
-183.727, 80.060, 0.880,  0.544
-183.703, 80.029, 1.013,  0.577
-183.676, 79.995, 1.129,  0.610
-183.647, 79.957, 1.225,  0.643
-183.614, 79.919, 1.304,  0.676
-183.580, 79.878, 1.380,  0.709
-183.544, 79.836, 1.452,  0.742
-183.508, 79.793, 1.514,  0.775
-183.471, 79.749, 1.563,  0.808
-183.434, 79.703, 1.599,  0.841
-183.397, 79.658, 1.622,  0.874
-183.360, 79.613, 1.634,  0.907
-183.323, 79.567, 1.637,  0.940
-183.286, 79.522, 1.632,  0.973
-183.250, 79.478, 1.622,  1.006
-183.214, 79.435, 1.607,  1.039
-183.179, 79.392, 1.590,  1.072
-183.144, 79.349, 1.571,  1.105
-183.109, 79.308, 1.553,  1.138
-183.075, 79.267, 1.535,  1.171
-183.041, 79.227, 1.518,  1.204
-183.008, 79.187, 1.505,  1.237
-182.975, 79.147, 1.495,  1.270
-182.942, 79.108, 1.489,  1.303
-182.910, 79.069, 1.486,  1.336
-182.877, 79.030, 1.487,  1.369
-182.845, 78.990, 1.492,  1.402
-182.812, 78.951, 1.499,  1.435
-182.780, 78.911, 1.509,  1.468
-182.748, 78.871, 1.519,  1.501
-182.716, 78.831, 1.530,  1.534
-182.684, 78.790, 1.541,  1.567
-182.652, 78.748, 1.552,  1.600
-182.620, 78.707, 1.561,  1.633
-182.589, 78.664, 1.570,  1.666
-182.558, 78.622, 1.577,  1.699
-182.527, 78.579, 1.580,  1.732
